user_id,user_category,Message_Content,Is_Spam,Suggested_Action,User_Tag
32,Power Bill,Your electricity bill of Rs. 1500 is due on 20-Dec-2024.,0,Provide 'Pay Now' button for bill payment,Frequent Bill Payer
33,Power Bill,Your electricity bill of Rs. 1500 is due on 20-Dec-2024.,0,Provide 'Pay Now' button for bill payment,Frequent Bill Payer
34,Logistic,Your package is out for delivery. Tracking ID: XYZ123.,0,Enable Track button for real-time tracking,Frequent Shopper
35,Spam,Congratulations! You've won a free iPhone. Click here: spamlink.com,1,Block or Tag as Spam,N/A
36,Fraud,URGENT: Update your KYC at fakebanklink.com to avoid suspension.,1,Block or Tag as Fraud,N/A
37,OTP,Your OTP is 123456. It will expire in 10 minutes.,0,"Highlight OTP, Auto-delete after expiry",N/A
38,Spam,Congratulations! You've won a free iPhone. Click here: spamlink.com,1,Block or Tag as Spam,N/A
39,Fraud,URGENT: Update your KYC at fakebanklink.com to avoid suspension.,1,Block or Tag as Fraud,N/A
40,Fraud,URGENT: Update your KYC at fakebanklink.com to avoid suspension.,1,Block or Tag as Fraud,N/A
41,Fraud,URGENT: Update your KYC at fakebanklink.com to avoid suspension.,1,Block or Tag as Fraud,N/A
42,Transactional,"Your account has been credited with Rs. 10,000.",0,Suggest tagging as a frequent transaction user,Transactional User
43,Transactional,"Your account has been credited with Rs. 10,000.",0,Suggest tagging as a frequent transaction user,Transactional User
44,Logistic,Your package is out for delivery. Tracking ID: XYZ123.,0,Enable Track button for real-time tracking,Frequent Shopper
45,Recharge,Your recharge of Rs. 199 is successful. Validity: 28 days.,0,Show 'Recharge Again' button,Frequent Recharge User
46,Transactional,"Your account has been credited with Rs. 10,000.",0,Suggest tagging as a frequent transaction user,Transactional User
47,Spam,Congratulations! You've won a free iPhone. Click here: spamlink.com,1,Block or Tag as Spam,N/A
48,Logistic,Your package is out for delivery. Tracking ID: XYZ123.,0,Enable Track button for real-time tracking,Frequent Shopper
49,Fraud,URGENT: Update your KYC at fakebanklink.com to avoid suspension.,1,Block or Tag as Fraud,N/A
50,Transactional,"Your account has been credited with Rs. 10,000.",0,Suggest tagging as a frequent transaction user,Transactional User
51,Spam,Congratulations! You've won a free iPhone. Click here: spamlink.com,1,Block or Tag as Spam,N/A
52,Recharge,Your recharge of Rs. 199 is successful. Validity: 28 days.,0,Show 'Recharge Again' button,Frequent Recharge User
53,Fraud,URGENT: Update your KYC at fakebanklink.com to avoid suspension.,1,Block or Tag as Fraud,N/A
54,Logistic,Your package is out for delivery. Tracking ID: XYZ123.,0,Enable Track button for real-time tracking,Frequent Shopper
55,Transactional,"Your account has been credited with Rs. 10,000.",0,Suggest tagging as a frequent transaction user,Transactional User
56,Fraud,URGENT: Update your KYC at fakebanklink.com to avoid suspension.,1,Block or Tag as Fraud,N/A
57,Power Bill,Your electricity bill of Rs. 1500 is due on 20-Dec-2024.,0,Provide 'Pay Now' button for bill payment,Frequent Bill Payer
58,Logistic,Your package is out for delivery. Tracking ID: XYZ123.,0,Enable Track button for real-time tracking,Frequent Shopper
59,OTP,Your OTP is 123456. It will expire in 10 minutes.,0,"Highlight OTP, Auto-delete after expiry",N/A
60,Spam,Congratulations! You've won a free iPhone. Click here: spamlink.com,1,Block or Tag as Spam,N/A
61,Transactional,"Your account has been credited with Rs. 10,000.",0,Suggest tagging as a frequent transaction user,Transactional User
62,Logistic,Your package is out for delivery. Tracking ID: XYZ123.,0,Enable Track button for real-time tracking,Frequent Shopper
63,Fraud,URGENT: Update your KYC at fakebanklink.com to avoid suspension.,1,Block or Tag as Fraud,N/A
64,Transactional,"Your account has been credited with Rs. 10,000.",0,Suggest tagging as a frequent transaction user,Transactional User
65,OTP,Your OTP is 123456. It will expire in 10 minutes.,0,"Highlight OTP, Auto-delete after expiry",N/A
66,Transactional,"Your account has been credited with Rs. 10,000.",0,Suggest tagging as a frequent transaction user,Transactional User
67,OTP,Your OTP is 123456. It will expire in 10 minutes.,0,"Highlight OTP, Auto-delete after expiry",N/A
68,Power Bill,Your electricity bill of Rs. 1500 is due on 20-Dec-2024.,0,Provide 'Pay Now' button for bill payment,Frequent Bill Payer
69,Fraud,URGENT: Update your KYC at fakebanklink.com to avoid suspension.,1,Block or Tag as Fraud,N/A
70,Power Bill,Your electricity bill of Rs. 1500 is due on 20-Dec-2024.,0,Provide 'Pay Now' button for bill payment,Frequent Bill Payer
71,Recharge,Your recharge of Rs. 199 is successful. Validity: 28 days.,0,Show 'Recharge Again' button,Frequent Recharge User
72,OTP,Your OTP is 123456. It will expire in 10 minutes.,0,"Highlight OTP, Auto-delete after expiry",N/A
73,Transactional,"Your account has been credited with Rs. 10,000.",0,Suggest tagging as a frequent transaction user,Transactional User
74,Logistic,Your package is out for delivery. Tracking ID: XYZ123.,0,Enable Track button for real-time tracking,Frequent Shopper
75,OTP,Your OTP is 123456. It will expire in 10 minutes.,0,"Highlight OTP, Auto-delete after expiry",N/A
76,Power Bill,Your electricity bill of Rs. 1500 is due on 20-Dec-2024.,0,Provide 'Pay Now' button for bill payment,Frequent Bill Payer
77,Logistic,Your package is out for delivery. Tracking ID: XYZ123.,0,Enable Track button for real-time tracking,Frequent Shopper
78,Spam,Congratulations! You've won a free iPhone. Click here: spamlink.com,1,Block or Tag as Spam,N/A
79,OTP,Your OTP is 123456. It will expire in 10 minutes.,0,"Highlight OTP, Auto-delete after expiry",N/A
80,Transactional,"Your account has been credited with Rs. 10,000.",0,Suggest tagging as a frequent transaction user,Transactional User
81,Spam,Congratulations! You've won a free iPhone. Click here: spamlink.com,1,Block or Tag as Spam,N/A
82,Fraud,URGENT: Update your KYC at fakebanklink.com to avoid suspension.,1,Block or Tag as Fraud,N/A
83,Recharge,Your recharge of Rs. 199 is successful. Validity: 28 days.,0,Show 'Recharge Again' button,Frequent Recharge User
84,Recharge,Your recharge of Rs. 199 is successful. Validity: 28 days.,0,Show 'Recharge Again' button,Frequent Recharge User
85,Power Bill,Your electricity bill of Rs. 1500 is due on 20-Dec-2024.,0,Provide 'Pay Now' button for bill payment,Frequent Bill Payer
86,Recharge,Your recharge of Rs. 199 is successful. Validity: 28 days.,0,Show 'Recharge Again' button,Frequent Recharge User
87,Transactional,"Your account has been credited with Rs. 10,000.",0,Suggest tagging as a frequent transaction user,Transactional User
88,Transactional,"Your account has been credited with Rs. 10,000.",0,Suggest tagging as a frequent transaction user,Transactional User
89,Fraud,URGENT: Update your KYC at fakebanklink.com to avoid suspension.,1,Block or Tag as Fraud,N/A
90,Fraud,URGENT: Update your KYC at fakebanklink.com to avoid suspension.,1,Block or Tag as Fraud,N/A
91,Spam,Congratulations! You've won a free iPhone. Click here: spamlink.com,1,Block or Tag as Spam,N/A
92,Power Bill,Your electricity bill of Rs. 1500 is due on 20-Dec-2024.,0,Provide 'Pay Now' button for bill payment,Frequent Bill Payer
93,Recharge,Your recharge of Rs. 199 is successful. Validity: 28 days.,0,Show 'Recharge Again' button,Frequent Recharge User
94,OTP,Your OTP is 123456. It will expire in 10 minutes.,0,"Highlight OTP, Auto-delete after expiry",N/A
95,Recharge,Your recharge of Rs. 199 is successful. Validity: 28 days.,0,Show 'Recharge Again' button,Frequent Recharge User
96,Transactional,"Your account has been credited with Rs. 10,000.",0,Suggest tagging as a frequent transaction user,Transactional User
97,OTP,Your OTP is 123456. It will expire in 10 minutes.,0,"Highlight OTP, Auto-delete after expiry",N/A
98,OTP,Your OTP is 123456. It will expire in 10 minutes.,0,"Highlight OTP, Auto-delete after expiry",N/A
99,Fraud,URGENT: Update your KYC at fakebanklink.com to avoid suspension.,1,Block or Tag as Fraud,N/A
100,Logistic,Your package is out for delivery. Tracking ID: XYZ123.,0,Enable Track button for real-time tracking,Frequent Shopper
101,OTP,Your OTP is 123456. It will expire in 10 minutes.,0,"Highlight OTP, Auto-delete after expiry",N/A
102,Spam,Congratulations! You've won a free iPhone. Click here: spamlink.com,1,Block or Tag as Spam,N/A
103,Fraud,URGENT: Update your KYC at fakebanklink.com to avoid suspension.,1,Block or Tag as Fraud,N/A
104,Spam,Congratulations! You've won a free iPhone. Click here: spamlink.com,1,Block or Tag as Spam,N/A
105,Power Bill,Your electricity bill of Rs. 1500 is due on 20-Dec-2024.,0,Provide 'Pay Now' button for bill payment,Frequent Bill Payer
106,Logistic,Your package is out for delivery. Tracking ID: XYZ123.,0,Enable Track button for real-time tracking,Frequent Shopper
107,Fraud,URGENT: Update your KYC at fakebanklink.com to avoid suspension.,1,Block or Tag as Fraud,N/A
108,Recharge,Your recharge of Rs. 199 is successful. Validity: 28 days.,0,Show 'Recharge Again' button,Frequent Recharge User
109,Transactional,"Your account has been credited with Rs. 10,000.",0,Suggest tagging as a frequent transaction user,Transactional User
110,OTP,Your OTP is 123456. It will expire in 10 minutes.,0,"Highlight OTP, Auto-delete after expiry",N/A
111,Spam,Congratulations! You've won a free iPhone. Click here: spamlink.com,1,Block or Tag as Spam,N/A
112,Logistic,Your package is out for delivery. Tracking ID: XYZ123.,0,Enable Track button for real-time tracking,Frequent Shopper
113,OTP,Your OTP is 123456. It will expire in 10 minutes.,0,"Highlight OTP, Auto-delete after expiry",N/A
114,Recharge,Your recharge of Rs. 199 is successful. Validity: 28 days.,0,Show 'Recharge Again' button,Frequent Recharge User
115,Spam,Congratulations! You've won a free iPhone. Click here: spamlink.com,1,Block or Tag as Spam,N/A
116,Spam,Congratulations! You've won a free iPhone. Click here: spamlink.com,1,Block or Tag as Spam,N/A
117,Fraud,URGENT: Update your KYC at fakebanklink.com to avoid suspension.,1,Block or Tag as Fraud,N/A
118,Recharge,Your recharge of Rs. 199 is successful. Validity: 28 days.,0,Show 'Recharge Again' button,Frequent Recharge User
119,Fraud,URGENT: Update your KYC at fakebanklink.com to avoid suspension.,1,Block or Tag as Fraud,N/A
120,OTP,Your OTP is 123456. It will expire in 10 minutes.,0,"Highlight OTP, Auto-delete after expiry",N/A
121,Logistic,Your package is out for delivery. Tracking ID: XYZ123.,0,Enable Track button for real-time tracking,Frequent Shopper
122,Transactional,"Your account has been credited with Rs. 10,000.",0,Suggest tagging as a frequent transaction user,Transactional User
123,Spam,Congratulations! You've won a free iPhone. Click here: spamlink.com,1,Block or Tag as Spam,N/A
124,Recharge,Your recharge of Rs. 199 is successful. Validity: 28 days.,0,Show 'Recharge Again' button,Frequent Recharge User
125,Fraud,URGENT: Update your KYC at fakebanklink.com to avoid suspension.,1,Block or Tag as Fraud,N/A
126,Power Bill,Your electricity bill of Rs. 1500 is due on 20-Dec-2024.,0,Provide 'Pay Now' button for bill payment,Frequent Bill Payer
127,Fraud,URGENT: Update your KYC at fakebanklink.com to avoid suspension.,1,Block or Tag as Fraud,N/A
128,Spam,Congratulations! You've won a free iPhone. Click here: spamlink.com,1,Block or Tag as Spam,N/A
129,Fraud,URGENT: Update your KYC at fakebanklink.com to avoid suspension.,1,Block or Tag as Fraud,N/A
130,Fraud,URGENT: Update your KYC at fakebanklink.com to avoid suspension.,1,Block or Tag as Fraud,N/A
131,Recharge,Your recharge of Rs. 199 is successful. Validity: 28 days.,0,Show 'Recharge Again' button,Frequent Recharge User
132,Power Bill,Your electricity bill of Rs. 1500 is due on 20-Dec-2024.,0,Provide 'Pay Now' button for bill payment,Frequent Bill Payer
133,Transactional,"Your account has been credited with Rs. 10,000.",0,Suggest tagging as a frequent transaction user,Transactional User
134,OTP,Your OTP is 123456. It will expire in 10 minutes.,0,"Highlight OTP, Auto-delete after expiry",N/A
135,Fraud,URGENT: Update your KYC at fakebanklink.com to avoid suspension.,1,Block or Tag as Fraud,N/A
136,Power Bill,Your electricity bill of Rs. 1500 is due on 20-Dec-2024.,0,Provide 'Pay Now' button for bill payment,Frequent Bill Payer
137,Logistic,Your package is out for delivery. Tracking ID: XYZ123.,0,Enable Track button for real-time tracking,Frequent Shopper
138,Power Bill,Your electricity bill of Rs. 1500 is due on 20-Dec-2024.,0,Provide 'Pay Now' button for bill payment,Frequent Bill Payer
139,Spam,Congratulations! You've won a free iPhone. Click here: spamlink.com,1,Block or Tag as Spam,N/A
140,OTP,Your OTP is 123456. It will expire in 10 minutes.,0,"Highlight OTP, Auto-delete after expiry",N/A
141,Power Bill,Your electricity bill of Rs. 1500 is due on 20-Dec-2024.,0,Provide 'Pay Now' button for bill payment,Frequent Bill Payer
142,Transactional,"Your account has been credited with Rs. 10,000.",0,Suggest tagging as a frequent transaction user,Transactional User
143,Logistic,Your package is out for delivery. Tracking ID: XYZ123.,0,Enable Track button for real-time tracking,Frequent Shopper
144,Transactional,"Your account has been credited with Rs. 10,000.",0,Suggest tagging as a frequent transaction user,Transactional User
145,Spam,Congratulations! You've won a free iPhone. Click here: spamlink.com,1,Block or Tag as Spam,N/A
146,Fraud,URGENT: Update your KYC at fakebanklink.com to avoid suspension.,1,Block or Tag as Fraud,N/A
147,OTP,Your OTP is 123456. It will expire in 10 minutes.,0,"Highlight OTP, Auto-delete after expiry",N/A
148,Recharge,Your recharge of Rs. 199 is successful. Validity: 28 days.,0,Show 'Recharge Again' button,Frequent Recharge User
149,Spam,Congratulations! You've won a free iPhone. Click here: spamlink.com,1,Block or Tag as Spam,N/A
150,Transactional,"Your account has been credited with Rs. 10,000.",0,Suggest tagging as a frequent transaction user,Transactional User
151,Fraud,URGENT: Update your KYC at fakebanklink.com to avoid suspension.,1,Block or Tag as Fraud,N/A
152,Fraud,URGENT: Update your KYC at fakebanklink.com to avoid suspension.,1,Block or Tag as Fraud,N/A
153,Transactional,"Your account has been credited with Rs. 10,000.",0,Suggest tagging as a frequent transaction user,Transactional User
154,Fraud,URGENT: Update your KYC at fakebanklink.com to avoid suspension.,1,Block or Tag as Fraud,N/A
155,Spam,Congratulations! You've won a free iPhone. Click here: spamlink.com,1,Block or Tag as Spam,N/A
156,Transactional,"Your account has been credited with Rs. 10,000.",0,Suggest tagging as a frequent transaction user,Transactional User
157,Logistic,Your package is out for delivery. Tracking ID: XYZ123.,0,Enable Track button for real-time tracking,Frequent Shopper
158,OTP,Your OTP is 123456. It will expire in 10 minutes.,0,"Highlight OTP, Auto-delete after expiry",N/A
159,Spam,Congratulations! You've won a free iPhone. Click here: spamlink.com,1,Block or Tag as Spam,N/A
160,Fraud,URGENT: Update your KYC at fakebanklink.com to avoid suspension.,1,Block or Tag as Fraud,N/A
161,Fraud,URGENT: Update your KYC at fakebanklink.com to avoid suspension.,1,Block or Tag as Fraud,N/A
162,Fraud,URGENT: Update your KYC at fakebanklink.com to avoid suspension.,1,Block or Tag as Fraud,N/A
163,Logistic,Your package is out for delivery. Tracking ID: XYZ123.,0,Enable Track button for real-time tracking,Frequent Shopper
164,Fraud,URGENT: Update your KYC at fakebanklink.com to avoid suspension.,1,Block or Tag as Fraud,N/A
165,Spam,Congratulations! You've won a free iPhone. Click here: spamlink.com,1,Block or Tag as Spam,N/A
166,Spam,Congratulations! You've won a free iPhone. Click here: spamlink.com,1,Block or Tag as Spam,N/A
167,Fraud,URGENT: Update your KYC at fakebanklink.com to avoid suspension.,1,Block or Tag as Fraud,N/A
168,Transactional,"Your account has been credited with Rs. 10,000.",0,Suggest tagging as a frequent transaction user,Transactional User
169,OTP,Your OTP is 123456. It will expire in 10 minutes.,0,"Highlight OTP, Auto-delete after expiry",N/A
170,Logistic,Your package is out for delivery. Tracking ID: XYZ123.,0,Enable Track button for real-time tracking,Frequent Shopper
171,Power Bill,Your electricity bill of Rs. 1500 is due on 20-Dec-2024.,0,Provide 'Pay Now' button for bill payment,Frequent Bill Payer
172,Spam,Congratulations! You've won a free iPhone. Click here: spamlink.com,1,Block or Tag as Spam,N/A
173,Spam,Congratulations! You've won a free iPhone. Click here: spamlink.com,1,Block or Tag as Spam,N/A
174,Transactional,"Your account has been credited with Rs. 10,000.",0,Suggest tagging as a frequent transaction user,Transactional User
175,Recharge,Your recharge of Rs. 199 is successful. Validity: 28 days.,0,Show 'Recharge Again' button,Frequent Recharge User
176,Recharge,Your recharge of Rs. 199 is successful. Validity: 28 days.,0,Show 'Recharge Again' button,Frequent Recharge User
177,Power Bill,Your electricity bill of Rs. 1500 is due on 20-Dec-2024.,0,Provide 'Pay Now' button for bill payment,Frequent Bill Payer
178,Transactional,"Your account has been credited with Rs. 10,000.",0,Suggest tagging as a frequent transaction user,Transactional User
179,Logistic,Your package is out for delivery. Tracking ID: XYZ123.,0,Enable Track button for real-time tracking,Frequent Shopper
180,OTP,Your OTP is 123456. It will expire in 10 minutes.,0,"Highlight OTP, Auto-delete after expiry",N/A
181,Recharge,Your recharge of Rs. 199 is successful. Validity: 28 days.,0,Show 'Recharge Again' button,Frequent Recharge User
182,Fraud,URGENT: Update your KYC at fakebanklink.com to avoid suspension.,1,Block or Tag as Fraud,N/A
183,OTP,Your OTP is 123456. It will expire in 10 minutes.,0,"Highlight OTP, Auto-delete after expiry",N/A
184,Power Bill,Your electricity bill of Rs. 1500 is due on 20-Dec-2024.,0,Provide 'Pay Now' button for bill payment,Frequent Bill Payer
185,Power Bill,Your electricity bill of Rs. 1500 is due on 20-Dec-2024.,0,Provide 'Pay Now' button for bill payment,Frequent Bill Payer
186,Recharge,Your recharge of Rs. 199 is successful. Validity: 28 days.,0,Show 'Recharge Again' button,Frequent Recharge User
187,Logistic,Your package is out for delivery. Tracking ID: XYZ123.,0,Enable Track button for real-time tracking,Frequent Shopper
188,Fraud,URGENT: Update your KYC at fakebanklink.com to avoid suspension.,1,Block or Tag as Fraud,N/A
189,Recharge,Your recharge of Rs. 199 is successful. Validity: 28 days.,0,Show 'Recharge Again' button,Frequent Recharge User
190,Fraud,URGENT: Update your KYC at fakebanklink.com to avoid suspension.,1,Block or Tag as Fraud,N/A
191,Logistic,Your package is out for delivery. Tracking ID: XYZ123.,0,Enable Track button for real-time tracking,Frequent Shopper
192,Spam,Congratulations! You've won a free iPhone. Click here: spamlink.com,1,Block or Tag as Spam,N/A
193,Transactional,"Your account has been credited with Rs. 10,000.",0,Suggest tagging as a frequent transaction user,Transactional User
194,Fraud,URGENT: Update your KYC at fakebanklink.com to avoid suspension.,1,Block or Tag as Fraud,N/A
195,Fraud,URGENT: Update your KYC at fakebanklink.com to avoid suspension.,1,Block or Tag as Fraud,N/A
196,OTP,Your OTP is 123456. It will expire in 10 minutes.,0,"Highlight OTP, Auto-delete after expiry",N/A
197,Spam,Congratulations! You've won a free iPhone. Click here: spamlink.com,1,Block or Tag as Spam,N/A
198,Logistic,Your package is out for delivery. Tracking ID: XYZ123.,0,Enable Track button for real-time tracking,Frequent Shopper
199,Power Bill,Your electricity bill of Rs. 1500 is due on 20-Dec-2024.,0,Provide 'Pay Now' button for bill payment,Frequent Bill Payer
200,Recharge,Your recharge of Rs. 199 is successful. Validity: 28 days.,0,Show 'Recharge Again' button,Frequent Recharge User
